.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR6913105_1	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913105_2	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913106_1	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913106_2	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913144_1	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913144_2	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913201_1	1	1	1	0.5	1	1	0.5	1	0.5	1
ERR6913201_2	1	1	1	0.5	0.5	1	0.5	1	0.5	1
ERR6913202_1	1	1	1	0.5	0.25	1	0.5	0.5	0.5	1
ERR6913202_2	1	1	1	0.5	0.25	1	0.5	0.5	0.5	1
ERR6913240_1	1	1	1	0.5	1	1	0.5	1	1	1
ERR6913240_2	1	1	1	0.5	1	1	0.5	1	1	1
ERR6913306_1	1	1	1	0.5	1	1	0.5	1	1	1
ERR6913306_2	1	1	1	0.5	1	1	0.5	1	1	1
ERR6913312_1	1	1	1	0.5	1	1	0.5	1	1	1
ERR6913312_2	1	1	1	0.5	1	1	0.5	1	1	1
ERR6913316_1	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913316_2	1	1	1	0.5	0.5	1	0.5	1	1	1
ERR6913335_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
ERR6913335_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR6913341_1	1	1	1	0.5	0.5	1	0.5	0.25	1	1
ERR6913341_2	1	1	1	0.5	0.5	1	0.5	0.25	1	1
ERR6913345_1	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
ERR6913345_2	1	1	1	0.5	0.5	1	0.5	0.25	0.5	1
