Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR6913105_1	0	0
ERR6913105_2	0	0
ERR6913106_1	0	0
ERR6913106_2	0	0
ERR6913144_1	0	0
ERR6913144_2	0	0
ERR6913201_1	0.204556280998683	1.0423963908426037
ERR6913201_2	0.17933701347829742	1.0480006725138007
ERR6913202_1	0.862514436421857	2.649242246688448
ERR6913202_2	0.8725387489093265	2.7292955590883805
ERR6913240_1	0	0
ERR6913240_2	0	0
ERR6913306_1	0	0
ERR6913306_2	0	0
ERR6913312_1	0	0
ERR6913312_2	0	0
ERR6913316_1	0	0
ERR6913316_2	0	0
ERR6913335_1	0.17087235295373138	0.3496543004967979
ERR6913335_2	0.17488992480863175	0.3463900233646914
ERR6913341_1	0	0
ERR6913341_2	0	0
ERR6913345_1	0.23138503065378999	0.728841031503123
ERR6913345_2	0.23116688009063427	0.7521104249063953
