Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR6913105_1	(1, 0.0)	(2, 0.05008339780080223)	(3, 0.0058132515304502586)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0008049117503700358)	(27, 0.0005366078335800238)	(32, 0.002056996695390091)	(37, 0.003846745653177412)	(42, 0.0)	(47, 8.96938211720471e-05)	(52, 8.994488177644738e-05)	(57, 9.031645078024381e-05)	(62, 0.0006360005378747406)	(67, 9.161636927993198e-05)	(72, 0.0004636438325170111)	(77, 9.418714609179855e-05)	(82, 0.0)	(87, 0.0002954486140997927)	(92, 0.00040594341757674106)	(97, 0.00021035161323910983)	(102, 0.0)	(107, 0.0001144971742097405)	(112, 0.0008428972062774168)	(117, 0.0034325248254179733)	(122, 0.0032406726015984616)	(127, 0.0001441640933376006)	(132, 0.005261089293064338)	(137, 0.0006674587176783116)	(142, 0.00036131997412948983)	(147, 0.0)	(150, 0.003602720774729075)
ERR6913105_2	(1, 0.039351241129201756)	(2, 0.0)	(3, 0.013415195839500595)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0004471731946500199)	(9, 0.0)	(12, 0.0003577385557200159)	(17, 0.0004471731946500199)	(22, 0.0)	(27, 8.943463893000398e-05)	(32, 0.0022358659732500995)	(37, 0.003488908848230676)	(42, 0.0017013381472248488)	(47, 8.969317757814069e-05)	(52, 0.0008094981111710739)	(57, 0.00045158021464510766)	(62, 0.0)	(67, 0.0002748470934003716)	(72, 0.0)	(77, 9.418492833939726e-05)	(82, 0.133660935549677)	(87, 0.0008863397320496507)	(92, 0.0028415981553968545)	(97, 0.0018931545634490751)	(102, 0.0)	(107, 0.0001144907508646914)	(112, 0.0)	(117, 0.00127112611604873)	(122, 0.0018900554731281364)	(127, 0.0024501996912748387)	(132, 0.0018564327716077173)	(137, 0.0008343136518742857)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR6913106_1	(1, 0.0)	(2, 0.04671214153936166)	(3, 0.004561118197446088)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0005976637638032805)	(27, 0.00044038382596031195)	(32, 0.0022333751173701536)	(37, 0.0031149393750991117)	(42, 0.0)	(47, 0.00012612161528997566)	(52, 0.00015803420618786093)	(57, 0.0003172187277054713)	(62, 0.0005102597285800938)	(67, 0.00016061073194486425)	(72, 0.00022715900026674957)	(77, 0.00013150324648639764)	(82, 0.0)	(87, 0.0)	(92, 0.00027936579773427356)	(97, 0.0001794965409221599)	(102, 0.00011110580272275879)	(107, 0.00015339264259859407)	(112, 0.0007967851313520209)	(117, 0.003654026779033527)	(122, 0.003732378076011182)	(127, 4.551570200687833e-05)	(132, 0.006364032212529965)	(137, 0.0003531362026154276)	(142, 0.00042667599664846005)	(147, 0.00017078913690001776)	(150, 0.0016137491426957678)
ERR6913106_2	(1, 0.05017230017190697)	(2, 0.0)	(3, 0.014469754281553109)	(4, 0.0)	(5, 0.0)	(6, 0.00031455987568593713)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0009122236394892176)	(17, 0.0008178556767834365)	(22, 3.145598756859371e-05)	(27, 0.00012582395027437485)	(32, 0.0024850230179189036)	(37, 0.0028632316068046746)	(42, 0.001763220850338444)	(47, 9.459115181753745e-05)	(52, 0.0007901672847355168)	(57, 0.0005075489983044691)	(62, 0.0)	(67, 0.00044970600469942777)	(72, 3.245084346232327e-05)	(77, 6.575067213624591e-05)	(82, 0.1324978348770802)	(87, 0.0006820393795896987)	(92, 0.0032475570862917818)	(97, 0.0022975037621624102)	(102, 7.406883438986353e-05)	(107, 3.8347043040337635e-05)	(112, 0.0)	(117, 0.0010795472710913433)	(122, 0.0016924806124176)	(127, 0.0023666538472916607)	(132, 0.0013876169067243917)	(137, 0.0004036801500882798)	(142, 5.3358660911045773e-05)	(147, 5.6971584282907213e-05)	(150, 0.0004038103545051102)
ERR6913144_1	(1, 0.009485170026146855)	(2, 0.06559084555816647)	(3, 0.0)	(4, 0.0005368964165743502)	(5, 0.0025055166106803016)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0025055166106803016)	(12, 0.0003221378499446102)	(17, 0.0)	(22, 0.0001789654721914501)	(27, 0.0004116205860403352)	(32, 0.0022191718551739814)	(37, 0.002703113951469259)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 0.0)	(62, 0.00068646739722454)	(67, 0.0017594281314419781)	(72, 0.0014403781010747956)	(77, 0.0)	(82, 0.0006470429030115965)	(87, 0.0011940126979519139)	(92, 0.0013955225977540005)	(97, 0.0006683733739908039)	(102, 0.0007359279441329985)	(107, 0.0)	(112, 0.0001601119823204349)	(117, 0.005325171063469306)	(122, 0.003916754793649523)	(127, 0.00017047620610317606)	(132, 0.002641570149296742)	(137, 0.0)	(142, 0.0021862797825963386)	(147, 0.003005969712708023)	(150, 0.0)
ERR6913144_2	(1, 0.06120619148947593)	(2, 0.001968620194105951)	(3, 0.009932583706625482)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.007069136151562279)	(9, 0.0)	(12, 0.001628585796942196)	(17, 7.158618887658004e-05)	(22, 0.0001610689249723051)	(27, 0.00023265511384888514)	(32, 0.002970826838378072)	(37, 0.0029358355244691148)	(42, 0.0)	(47, 1.793396105783828e-05)	(52, 0.0)	(57, 0.0)	(62, 0.017360552849605585)	(67, 0.008851653898881463)	(72, 0.0030448965437142304)	(77, 0.0006972209689573372)	(82, 0.001497484226499481)	(87, 0.0002798558108234421)	(92, 9.429564173087572e-05)	(97, 0.0)	(102, 0.0)	(107, 1.967173771278673e-05)	(112, 0.0)	(117, 0.00018363498099479965)	(122, 0.0)	(127, 8.524220827612338e-05)	(132, 0.00010916086731365585)	(137, 0.0)	(142, 0.0001380901715010885)	(147, 4.772095458134287e-05)	(150, 0.0)
ERR6913201_1	(1, 0.0)	(2, 0.051839605458570345)	(3, 0.005604281671196794)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.0)	(22, 0.0)	(27, 0.00028021408355983975)	(32, 0.24798946395045815)	(37, 0.18888472926522137)	(42, 0.0)	(47, 0.0)	(52, 0.00030892229368624616)	(57, 0.0)	(62, 0.0003177225646565419)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0)	(87, 0.0)	(92, 0.0007496139488163596)	(97, 0.0003934730687358104)	(102, 0.0)	(107, 0.0)	(112, 0.0009476427386875149)	(117, 0.0015385798907608277)	(122, 0.001669923016548937)	(127, 0.0)	(132, 0.002666577780740642)	(137, 0.0007355861886337221)	(142, 0.0008081003983934963)	(147, 0.0)	(150, 0.003201844262295082)
ERR6913201_2	(1, 0.04763639420517275)	(2, 0.0)	(3, 0.004203211253397596)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0008406422506795191)	(17, 0.0008406422506795191)	(22, 0.0)	(27, 0.00028021408355983975)	(32, 0.248269678034018)	(37, 0.18831643968485356)	(42, 0.0014545116040935776)	(47, 0.0)	(52, 0.0009267582921698191)	(57, 0.0009422909606028149)	(62, 0.0)	(67, 0.0006475614454866586)	(72, 0.0003330114222917846)	(77, 0.0)	(82, 0.12723980508539748)	(87, 0.0014416024853226845)	(92, 0.0026236488208572586)	(97, 0.0023608755700530804)	(102, 0.0)	(107, 0.0004422195885588948)	(112, 0.0)	(117, 0.0010256147278274916)	(122, 0.0016696441988212313)	(127, 0.0030450669914738127)	(132, 0.0013329156864182556)	(137, 0.0014702422959303693)	(142, 0.0)	(147, 0.0)	(150, 0.0031928480204342275)
ERR6913202_1	(1, 0.0)	(2, 0.037838249952702185)	(3, 0.003812062495234922)	(4, 0.0)	(5, 0.0)	(6, 0.0002823749996470312)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 2.8237499964703126e-05)	(22, 0.0005082749993646562)	(27, 0.000225899999717625)	(32, 0.0021742874972821404)	(37, 0.0028525384485467023)	(42, 0.0)	(47, 5.654180163665899e-05)	(52, 0.00031121209472051317)	(57, 0.00016990188166333942)	(62, 0.0008506523794873685)	(67, 0.00017050434047216062)	(72, 0.000142568990560222)	(77, 0.00014328786618288862)	(82, 0.0)	(87, 5.8610841012818777e-05)	(92, 0.0005682186912248791)	(97, 0.0004607785314066647)	(102, 0.00015922750457699462)	(107, 0.0002666221407691582)	(112, 0.0011944631713629564)	(117, 0.0028691357380665377)	(122, 0.0030857542987920063)	(127, 0.00021134759027817993)	(132, 0.004492744218087788)	(137, 0.0002446983652191616)	(142, 0.0005293512007008609)	(147, 0.00023101437255918878)	(150, 0.0004038919023712493)
ERR6913202_2	(1, 0.044332874944583905)	(2, 0.0)	(3, 0.009600749987999061)	(4, 0.0)	(5, 0.0)	(6, 0.0004235624994705469)	(7, 0.0)	(8, 0.0)	(9, 0.0001411874998235156)	(12, 0.0009035999988705)	(17, 0.000875362498905797)	(22, 0.0)	(27, 0.00019766249975292189)	(32, 0.0024001874969997654)	(37, 0.0024006437114290693)	(42, 0.001412745849564606)	(47, 2.8270485217645985e-05)	(52, 0.00042437460621573)	(57, 0.0003964337948483428)	(62, 5.670988527023111e-05)	(67, 0.0002557576009027675)	(72, 0.0)	(77, 0.00014329004254567943)	(82, 0.13298168222116977)	(87, 0.0004688957972869689)	(92, 0.0023626302474690697)	(97, 0.0017202789555203443)	(102, 0.0)	(107, 3.33287672922143e-05)	(112, 0.0)	(117, 0.0008570576837084513)	(122, 0.0013451543386568475)	(127, 0.001944567976178197)	(132, 0.0009984886512687612)	(137, 0.0003426119166297951)	(142, 0.0)	(147, 0.0)	(150, 0.0)
