Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR6913105_1	(1, 36.621083321781356)	(2, 36.562771937198995)	(3, 36.6342525723638)	(4, 36.63279925948119)	(5, 36.649389385002706)	(6, 36.658100318834485)	(7, 36.636653892419076)	(8, 36.639784104781626)	(9, 36.63548229864909)	(12, 36.6316705943379)	(17, 36.61668850362434)	(22, 36.59958770631453)	(27, 36.57504415835297)	(32, 36.56157798476927)	(37, 36.55039890203922)	(42, 36.541941291352465)	(47, 36.536700803674286)	(52, 36.52978971528726)	(57, 36.522114750155886)	(62, 36.514438174280976)	(67, 36.50047778009787)	(72, 36.49289990890932)	(77, 36.471994893978845)	(82, 36.45990999369976)	(87, 36.447909726790684)	(92, 36.44088198003608)	(97, 36.426105051288694)	(102, 36.41024121327557)	(107, 36.39919641788091)	(112, 36.395665456588816)	(117, 36.37901829822344)	(122, 36.3673681489265)	(127, 36.348867963559776)	(132, 36.33673432733666)	(137, 36.31898294919823)	(142, 36.3135632977297)	(147, 36.287240795464506)	(150, 36.18689829056457)
ERR6913105_2	(1, 36.395046215349666)	(2, 36.5945838382664)	(3, 36.577126196747265)	(4, 36.58475497144799)	(5, 36.58613226488751)	(6, 36.595120446099976)	(7, 36.57671479740819)	(8, 36.583838266398956)	(9, 36.56236948132381)	(12, 36.57990582532521)	(17, 36.569049354505495)	(22, 36.55613767568317)	(27, 36.54198106668694)	(32, 36.52210332383836)	(37, 36.51097332151968)	(42, 36.50724543680404)	(47, 36.493921068851094)	(52, 36.4809840191057)	(57, 36.46621464354831)	(62, 36.45904317042798)	(67, 36.44714784481063)	(72, 36.42701012278697)	(77, 36.411619282388365)	(82, 36.34017104144718)	(87, 36.385495295751824)	(92, 36.38749838216007)	(97, 36.342210359301475)	(102, 36.34008132798747)	(107, 36.32014493177249)	(112, 36.280243522894025)	(117, 36.270901548102316)	(122, 36.2406950686199)	(127, 36.251661485646686)	(132, 36.20657868525035)	(137, 36.17813314973007)	(142, 36.130426972793984)	(147, 36.0906732536417)	(150, 35.91323097189578)
ERR6913106_1	(1, 36.590314072307876)	(2, 36.56123143900133)	(3, 36.60494897052417)	(4, 36.62411038535158)	(5, 36.64387418234092)	(6, 36.64499086989961)	(7, 36.63162836638047)	(8, 36.631845412694695)	(9, 36.62389963023487)	(12, 36.62323339241816)	(17, 36.61175761903338)	(22, 36.59503404324254)	(27, 36.56184262883979)	(32, 36.549842484142246)	(37, 36.54272915843578)	(42, 36.53277967700524)	(47, 36.5232174893219)	(52, 36.514733891493805)	(57, 36.50604368370082)	(62, 36.48914312133976)	(67, 36.482587229060734)	(72, 36.466983684960404)	(77, 36.45077170450894)	(82, 36.43884465698407)	(87, 36.42840532411172)	(92, 36.41686937895938)	(97, 36.39630964675136)	(102, 36.38560448166193)	(107, 36.36595649589365)	(112, 36.358185960431165)	(117, 36.340753877424994)	(122, 36.32072582705614)	(127, 36.29232193382855)	(132, 36.28797522808013)	(137, 36.26483832490654)	(142, 36.251141403806756)	(147, 36.216472676855325)	(150, 36.11979571908236)
ERR6913106_2	(1, 36.21956279322878)	(2, 36.54094389981897)	(3, 36.50579812490858)	(4, 36.533429064388834)	(5, 36.529276874029776)	(6, 36.53054769592755)	(7, 36.510491358253816)	(8, 36.510824791722044)	(9, 36.50571004814339)	(12, 36.51768376981138)	(17, 36.512661821396044)	(22, 36.49116951788981)	(27, 36.469123589002365)	(32, 36.45414204580307)	(37, 36.43607433542487)	(42, 36.43402574299522)	(47, 36.412104895370625)	(52, 36.39990222324941)	(57, 36.383754260875136)	(62, 36.37883800364908)	(67, 36.36496376719683)	(72, 36.34282925009606)	(77, 36.32406550257944)	(82, 36.25099863442158)	(87, 36.29431270749361)	(92, 36.29109042386373)	(97, 36.24354985054017)	(102, 36.23242584657509)	(107, 36.21251617840481)	(112, 36.17482038343414)	(117, 36.15647648953602)	(122, 36.123940544228894)	(127, 36.12748032972855)	(132, 36.077291450591744)	(137, 36.04650728293676)	(142, 36.001868023767486)	(147, 35.96118082310012)	(150, 35.77528147701636)
ERR6913144_1	(1, 36.56664942632618)	(2, 36.591735911390614)	(3, 36.66748394232301)	(4, 36.63062421367046)	(5, 36.70959988689382)	(6, 36.70903077669225)	(7, 36.71367851000507)	(8, 36.716146443866585)	(9, 36.71300559982962)	(12, 36.715299579252175)	(17, 36.71235094413235)	(22, 36.69929756052164)	(27, 36.679708536831996)	(32, 36.66894394264515)	(37, 36.661240732172345)	(42, 36.65534649543753)	(47, 36.64470423059919)	(52, 36.63497689186409)	(57, 36.627929414525745)	(62, 36.61568250277804)	(67, 36.60025557192333)	(72, 36.5895007628103)	(77, 36.58079390230428)	(82, 36.56695487361706)	(87, 36.54155953053778)	(92, 36.533828686952106)	(97, 36.51506792283702)	(102, 36.51585963492952)	(107, 36.48467060735795)	(112, 36.471280344564356)	(117, 36.43855039075659)	(122, 36.4260220728217)	(127, 36.43373936823667)	(132, 36.38610676566488)	(137, 36.3886501900498)	(142, 36.35129738724627)	(147, 36.32432580543848)	(150, 36.23722988551988)
ERR6913144_2	(1, 36.48676997746825)	(2, 36.58979861015414)	(3, 36.59139587699345)	(4, 36.55706940459977)	(5, 36.570643935665494)	(6, 36.58065168487044)	(7, 36.546077345297775)	(8, 36.55549540327185)	(9, 36.52650210194947)	(12, 36.548195759592105)	(17, 36.54295403987709)	(22, 36.52695041045731)	(27, 36.51231711965811)	(32, 36.490128443519396)	(37, 36.494264042865524)	(42, 36.4712020639922)	(47, 36.456237555497054)	(52, 36.45332996747893)	(57, 36.42928691102352)	(62, 36.4218293788514)	(67, 36.381282921535906)	(72, 36.37076906261609)	(77, 36.35331070065566)	(82, 36.35907177964972)	(87, 36.31529186725101)	(92, 36.31853390390535)	(97, 36.284883790746136)	(102, 36.27020658560659)	(107, 36.23581475288324)	(112, 36.2248496690839)	(117, 36.19187345256647)	(122, 36.18548999422101)	(127, 36.11821679861781)	(132, 36.09688625561112)	(137, 36.07473337940101)	(142, 36.07430859758007)	(147, 35.990620130458865)	(150, 35.84489884829861)
ERR6913201_1	(1, 36.57194496595399)	(2, 36.52981477849077)	(3, 36.61546221313083)	(4, 36.63516126320509)	(5, 36.63345195729537)	(6, 36.629108639000194)	(7, 36.59144786616975)	(8, 36.636226076722615)	(9, 36.62367248577914)	(12, 36.63330624597192)	(17, 36.602903017905675)	(22, 36.58143861910499)	(27, 36.553386387199815)	(32, 36.44184436909799)	(37, 36.43446154961507)	(42, 36.46598331521409)	(47, 36.47980411900155)	(52, 36.48787472960861)	(57, 36.47795397302597)	(62, 36.44924901583937)	(67, 36.46277689299407)	(72, 36.4703695202677)	(77, 36.45781324866431)	(82, 36.441743403619526)	(87, 36.44942803682561)	(92, 36.43460401199003)	(97, 36.4381251852046)	(102, 36.41674990354677)	(107, 36.39866673080016)	(112, 36.393646555986656)	(117, 36.39178503017308)	(122, 36.34832367003538)	(127, 36.33637928113341)	(132, 36.31586515462088)	(137, 36.30877173715106)	(142, 36.30100994731704)	(147, 36.24957917527923)	(150, 36.117304166293934)
ERR6913201_2	(1, 36.24628015804074)	(2, 36.57878218959285)	(3, 36.62105248409785)	(4, 36.618936867766976)	(5, 36.57794154734217)	(6, 36.562697901196515)	(7, 36.559111160926946)	(8, 36.62591419844762)	(9, 36.61577044862275)	(12, 36.62465603721243)	(17, 36.59903326141172)	(22, 36.58200465155378)	(27, 36.56506010592092)	(32, 36.47041219491692)	(37, 36.47083437978271)	(42, 36.50942507200931)	(47, 36.51840174948575)	(52, 36.51142098138176)	(57, 36.495437200851796)	(62, 36.487991858296)	(67, 36.48835003859661)	(72, 36.46203499456068)	(77, 36.45164586887714)	(82, 36.38783778040868)	(87, 36.41602901793017)	(92, 36.42501796611426)	(97, 36.39225817228042)	(102, 36.39355220985699)	(107, 36.34691838832788)	(112, 36.32587967464021)	(117, 36.30126860962541)	(122, 36.292594227604496)	(127, 36.27763433707985)	(132, 36.23287635864595)	(137, 36.2252840633219)	(142, 36.15514649519561)	(147, 36.134961324867376)	(150, 35.91819180762286)
ERR6913202_1	(1, 36.561002883048744)	(2, 36.52908886058864)	(3, 36.61181767611023)	(4, 36.611339050485824)	(5, 36.6172011554785)	(6, 36.58954817176306)	(7, 36.572441894284445)	(8, 36.61290340798387)	(9, 36.610014711737485)	(12, 36.60154063799807)	(17, 36.58680941664149)	(22, 36.5735188725331)	(27, 36.545538898568076)	(32, 36.53432889345709)	(37, 36.52401467506997)	(42, 36.51534198185357)	(47, 36.510031843072966)	(52, 36.5003337092039)	(57, 36.49416321122403)	(62, 36.48473685457302)	(67, 36.47772091783905)	(72, 36.45938069375692)	(77, 36.454666464448486)	(82, 36.44423124804931)	(87, 36.41982626712333)	(92, 36.417297146196724)	(97, 36.39400240527814)	(102, 36.37466943144717)	(107, 36.359688139759626)	(112, 36.36588029421897)	(117, 36.35661513866701)	(122, 36.33341625079567)	(127, 36.30472232746568)	(132, 36.29356135890181)	(137, 36.2851118878032)	(142, 36.271666351236206)	(147, 36.22348047320593)	(150, 36.13239813474509)
ERR6913202_2	(1, 36.31599174335501)	(2, 36.59378379675777)	(3, 36.60006664049992)	(4, 36.58375101302031)	(5, 36.553757140557806)	(6, 36.50179308124776)	(7, 36.510452110611936)	(8, 36.58441459426948)	(9, 36.56367273867041)	(12, 36.56402824879497)	(17, 36.567871654915166)	(22, 36.54453703206933)	(27, 36.521299546223375)	(32, 36.500312306749606)	(37, 36.48014502765578)	(42, 36.484819685915)	(47, 36.46447653161741)	(52, 36.4602177108579)	(57, 36.442841281248164)	(62, 36.453193771973645)	(67, 36.44186249821688)	(72, 36.404780858278414)	(77, 36.40307735531394)	(82, 36.33093256489533)	(87, 36.35862451446535)	(92, 36.35883731099931)	(97, 36.326690789288925)	(102, 36.31460430533654)	(107, 36.28186730348118)	(112, 36.27314471525908)	(117, 36.26939472638605)	(122, 36.25186739664614)	(127, 36.24489054844314)	(132, 36.20667542355547)	(137, 36.1751624137921)	(142, 36.13677401532105)	(147, 36.08104976848965)	(150, 35.95400150124639)
