Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
ERR6913105_1	(24.0, 1.0)	(25.0, 3.0)	(26.0, 3.0)	(27.0, 7.0)	(28.0, 7.0)	(29.0, 16.0)	(30.0, 244.0)	(31.0, 1696.0)	(32.0, 2838.0)	(33.0, 3953.0)	(34.0, 5807.0)	(35.0, 12343.0)	(36.0, 147209.0)	(37.0, 49500.0)			
ERR6913105_2	(24.0, 1.0)	(25.0, 2.0)	(26.0, 1.0)	(27.0, 8.0)	(28.0, 5.0)	(29.0, 23.0)	(30.0, 142.0)	(31.0, 836.0)	(32.0, 1684.0)	(33.0, 2910.0)	(34.0, 6436.0)	(35.0, 21922.0)	(36.0, 150769.0)	(37.0, 38888.0)			
ERR6913106_1	(21.0, 1.0)	(22.0, 2.0)	(23.0, 3.0)	(24.0, 11.0)	(25.0, 3.0)	(26.0, 15.0)	(27.0, 10.0)	(28.0, 21.0)	(29.0, 50.0)	(30.0, 701.0)	(31.0, 4558.0)	(32.0, 7825.0)	(33.0, 11260.0)	(34.0, 17064.0)	(35.0, 38553.0)	(36.0, 440875.0)	(37.0, 114857.0)
ERR6913106_2	(23.0, 2.0)	(24.0, 4.0)	(25.0, 3.0)	(26.0, 10.0)	(27.0, 17.0)	(28.0, 28.0)	(29.0, 61.0)	(30.0, 455.0)	(31.0, 2962.0)	(32.0, 6012.0)	(33.0, 11008.0)	(34.0, 22906.0)	(35.0, 75530.0)	(36.0, 426880.0)	(37.0, 89931.0)		
ERR6913144_1	(21.0, 1.0)	(22.0, 1.0)	(23.0, 2.0)	(24.0, 9.0)	(25.0, 12.0)	(26.0, 26.0)	(27.0, 24.0)	(28.0, 27.0)	(29.0, 50.0)	(30.0, 404.0)	(31.0, 3307.0)	(32.0, 7019.0)	(33.0, 11367.0)	(34.0, 20895.0)	(35.0, 61016.0)	(36.0, 817519.0)	(37.0, 195855.0)
ERR6913144_2	(23.0, 2.0)	(24.0, 1.0)	(25.0, 8.0)	(26.0, 9.0)	(27.0, 19.0)	(28.0, 26.0)	(29.0, 46.0)	(30.0, 536.0)	(31.0, 5176.0)	(32.0, 11093.0)	(33.0, 19711.0)	(34.0, 38966.0)	(35.0, 115035.0)	(36.0, 791920.0)	(37.0, 134986.0)		
ERR6913201_1	(24.0, 1.0)	(25.0, 2.0)	(26.0, 5.0)	(27.0, 4.0)	(28.0, 3.0)	(29.0, 6.0)	(30.0, 116.0)	(31.0, 575.0)	(32.0, 1012.0)	(33.0, 1447.0)	(34.0, 2280.0)	(35.0, 4536.0)	(36.0, 42793.0)	(37.0, 18594.0)			
ERR6913201_2	(24.0, 1.0)	(25.0, 1.0)	(26.0, 1.0)	(27.0, 2.0)	(28.0, 5.0)	(29.0, 13.0)	(30.0, 42.0)	(31.0, 206.0)	(32.0, 499.0)	(33.0, 893.0)	(34.0, 2079.0)	(35.0, 6474.0)	(36.0, 45604.0)	(37.0, 15554.0)			
ERR6913202_1	(23.0, 6.0)	(24.0, 5.0)	(25.0, 13.0)	(26.0, 24.0)	(27.0, 16.0)	(28.0, 22.0)	(29.0, 62.0)	(30.0, 893.0)	(31.0, 5566.0)	(32.0, 9475.0)	(33.0, 13291.0)	(34.0, 19450.0)	(35.0, 41093.0)	(36.0, 488413.0)	(37.0, 129949.0)		
ERR6913202_2	(22.0, 1.0)	(23.0, 2.0)	(24.0, 0.0)	(25.0, 7.0)	(26.0, 15.0)	(27.0, 13.0)	(28.0, 40.0)	(29.0, 60.0)	(30.0, 401.0)	(31.0, 2362.0)	(32.0, 5290.0)	(33.0, 9566.0)	(34.0, 20727.0)	(35.0, 75742.0)	(36.0, 487800.0)	(37.0, 106252.0)	
ERR6913240_1	(22.0, 1.0)	(23.0, 9.0)	(24.0, 17.0)	(25.0, 26.0)	(26.0, 49.0)	(27.0, 51.0)	(28.0, 59.0)	(29.0, 97.0)	(30.0, 689.0)	(31.0, 4253.0)	(32.0, 7971.0)	(33.0, 11868.0)	(34.0, 19456.0)	(35.0, 48835.0)	(36.0, 819039.0)	(37.0, 277974.0)	
ERR6913240_2	(23.0, 2.0)	(24.0, 4.0)	(25.0, 18.0)	(26.0, 30.0)	(27.0, 45.0)	(28.0, 51.0)	(29.0, 103.0)	(30.0, 415.0)	(31.0, 2724.0)	(32.0, 6052.0)	(33.0, 10830.0)	(34.0, 23157.0)	(35.0, 85086.0)	(36.0, 872971.0)	(37.0, 188906.0)		
ERR6913306_1	(23.0, 1.0)	(24.0, 2.0)	(25.0, 7.0)	(26.0, 10.0)	(27.0, 12.0)	(28.0, 15.0)	(29.0, 30.0)	(30.0, 227.0)	(31.0, 1818.0)	(32.0, 3402.0)	(33.0, 5058.0)	(34.0, 8157.0)	(35.0, 19632.0)	(36.0, 249802.0)	(37.0, 84248.0)		
ERR6913306_2	(26.0, 4.0)	(27.0, 5.0)	(28.0, 17.0)	(29.0, 15.0)	(30.0, 224.0)	(31.0, 1821.0)	(32.0, 3788.0)	(33.0, 6521.0)	(34.0, 12774.0)	(35.0, 38804.0)	(36.0, 245986.0)	(37.0, 62462.0)					
ERR6913312_1	(21.0, 1.0)	(22.0, 0.0)	(23.0, 1.0)	(24.0, 4.0)	(25.0, 11.0)	(26.0, 7.0)	(27.0, 19.0)	(28.0, 26.0)	(29.0, 33.0)	(30.0, 391.0)	(31.0, 2657.0)	(32.0, 4690.0)	(33.0, 6846.0)	(34.0, 10507.0)	(35.0, 25398.0)	(36.0, 332081.0)	(37.0, 117894.0)
ERR6913312_2	(23.0, 1.0)	(24.0, 4.0)	(25.0, 6.0)	(26.0, 9.0)	(27.0, 6.0)	(28.0, 14.0)	(29.0, 19.0)	(30.0, 208.0)	(31.0, 1575.0)	(32.0, 3293.0)	(33.0, 5651.0)	(34.0, 12004.0)	(35.0, 40134.0)	(36.0, 334771.0)	(37.0, 102871.0)		
