Sample	Unique Reads	Duplicate Reads
ERR6913105_1	210656	12971
ERR6913105_2	210750	12877
ERR6913106_1	604273	31536
ERR6913106_2	604481	31328
ERR6913144_1	1040372	77162
ERR6913144_2	1040901	76633
ERR6913201_1	56845	14529
ERR6913201_2	56856	14518
ERR6913202_1	361504	346774
ERR6913202_2	363740	344538
ERR6913240_1	846389	344005
ERR6913240_2	848645	341749
ERR6913306_1	346363	26058
ERR6913306_2	346774	25647
ERR6913312_1	463708	36858
ERR6913312_2	464114	36452
ERR6913316_1	412817	20204
ERR6913316_2	413073	19948
ERR6913335_1	329323	467178
ERR6913335_2	332832	463669
ERR6913341_1	554982	583303
ERR6913341_2	561147	577138
ERR6913345_1	423051	952146
ERR6913345_2	426248	948949
