Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR6913105_1	(1.0, 88.82501091218829)	(2.0, 9.967802009601074)	(3.0, 1.0735152565277934)	(4.0, 0.12387389762411011)	(5.0, 0.009797924058743414)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913105_2	(1.0, 88.91186343902606)	(2.0, 9.873599094102953)	(3.0, 1.0800418527308553)	(4.0, 0.11980083752550152)	(5.0, 0.01469477661462222)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913106_1	(1.0, 90.41319563311538)	(2.0, 8.652254041095887)	(3.0, 0.8192172098257261)	(4.0, 0.09620802373092605)	(5.0, 0.013900719018614111)	(6.0, 0.0)	(7.0, 0.0016188996932592643)	(8.0, 0.0017400541680571376)	(9.0, 0.001865419352115111)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913106_2	(1.0, 90.4795153190664)	(2.0, 8.586133042513488)	(3.0, 0.8097159986541166)	(4.0, 0.10645611658743627)	(5.0, 0.016677712349492623)	(6.0, 0.0015018108290685988)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913144_1	(1.0, 86.8341924771895)	(2.0, 11.379697532971665)	(3.0, 1.5208180182657818)	(4.0, 0.23093401243073283)	(5.0, 0.026668436897011587)	(6.0, 0.006357173627600977)	(7.0, 0.001332348617702748)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913144_2	(1.0, 86.92201686087377)	(2.0, 11.308770914936263)	(3.0, 1.5108680173774025)	(4.0, 0.2262953427748798)	(5.0, 0.02302872623748795)	(6.0, 0.006356032728694014)	(7.0, 0.00266410507150128)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913201_1	(1.0, 68.27276038893714)	(2.0, 17.160310477204586)	(3.0, 4.497436041135428)	(4.0, 1.9839157116036652)	(5.0, 1.2609633760192787)	(6.0, 0.8406422506795191)	(7.0, 0.5884495754756633)	(8.0, 0.5828452938044666)	(9.0, 0.4791660828873259)	('>10', 2.743295878050831)	('>50', 0.8994872082270854)	('>100', 0.6907277159750049)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913201_2	(1.0, 68.33020427606692)	(2.0, 16.877294252809147)	(3.0, 4.690783758791717)	(4.0, 2.236108386807521)	(5.0, 1.2469526718412867)	(6.0, 0.8154229831591336)	(7.0, 0.6767170117970128)	(8.0, 0.43713397035335)	(9.0, 0.4035082803261692)	('>10', 2.6410177375514894)	('>50', 0.9779471516238406)	('>100', 0.6669095188724186)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913202_1	(1.0, 44.473164240690345)	(2.0, 6.5395004670957855)	(3.0, 2.619264354839361)	(4.0, 1.7925642641969368)	(5.0, 1.5819174414665884)	(6.0, 1.4170984746150137)	(7.0, 1.1415196544484296)	(8.0, 1.0515598992921542)	(9.0, 0.9500739953102612)	('>10', 17.16108537870811)	('>50', 6.868103486339949)	('>100', 9.817861196567714)	('>500', 1.8331117432205242)	('>1k', 1.8602971031502813)	('>5k', 0.8928783000585379)	('>10k+', 0.0)
ERR6913202_2	(1.0, 44.77418760927164)	(2.0, 6.579033813083826)	(3.0, 2.5438522639738803)	(4.0, 1.8742620542609512)	(5.0, 1.6399867533276027)	(6.0, 1.2998646849552404)	(7.0, 1.2437002459434805)	(8.0, 1.0665635776271842)	(9.0, 0.9873673266527883)	('>10', 17.161243511398215)	('>50', 6.865291403552252)	('>100', 9.322378437125469)	('>500', 1.8993953402183386)	('>1k', 1.8399296553361182)	('>5k', 0.9029433232730255)	('>10k+', 0.0)
ERR6913240_1	(1.0, 62.65393094175186)	(2.0, 11.207462561303752)	(3.0, 3.1471972122614837)	(4.0, 1.71625424563419)	(5.0, 1.2622353957886163)	(6.0, 1.0657799276949846)	(7.0, 0.9352301724005715)	(8.0, 0.844655046603815)	(9.0, 0.7121075625719899)	('>10', 10.585300860165352)	('>50', 3.007339166616781)	('>100', 2.5129285376845423)	('>500', 0.3495783695220604)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913240_2	(1.0, 62.845086028782816)	(2.0, 11.105069014563648)	(3.0, 3.292696360942096)	(4.0, 1.7648505471946563)	(5.0, 1.3068783926534548)	(6.0, 1.0335808561113695)	(7.0, 0.9410723542548926)	(8.0, 0.7947740197275429)	(9.0, 0.7023470750063197)	('>10', 10.490325187080499)	('>50', 2.95874401945238)	('>100', 2.3761296426015974)	('>500', 0.38844650162874406)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913306_1	(1.0, 87.31936987421474)	(2.0, 9.9024242305542)	(3.0, 1.5488588530710037)	(4.0, 0.4334278007921471)	(5.0, 0.22257215848552012)	(6.0, 0.1276553966568448)	(7.0, 0.09899806936317743)	(8.0, 0.06847303462678757)	(9.0, 0.0377866000334417)	('>10', 0.24043398220212125)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913306_2	(1.0, 87.46139182944734)	(2.0, 9.88771045396566)	(3.0, 1.5027631821302434)	(4.0, 0.39986528741932587)	(5.0, 0.2399267796723047)	(6.0, 0.1256556158071555)	(7.0, 0.09236087344252232)	(8.0, 0.07332724355306482)	(9.0, 0.03506726576887154)	('>10', 0.18193146879350292)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913312_1	(1.0, 87.41857887277312)	(2.0, 8.636332221038966)	(3.0, 1.5527018592285182)	(4.0, 0.6518881053749147)	(5.0, 0.37085977345060916)	(6.0, 0.2494922835657915)	(7.0, 0.19367770067213236)	(8.0, 0.1500522935136239)	(9.0, 0.1222446241237094)	('>10', 0.6429385739850967)	('>50', 0.011233692273507666)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913312_2	(1.0, 87.56015795111831)	(2.0, 8.533824556989046)	(3.0, 1.5331724996475364)	(4.0, 0.6042799693877714)	(5.0, 0.39478311622355466)	(6.0, 0.270871840121564)	(7.0, 0.1899680265899334)	(8.0, 0.13615524128113143)	(9.0, 0.14359909435424942)	('>10', 0.6217545129154245)	('>50', 0.01143319137146032)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
