Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
ERR6913105_1	(37, 157.0)	(42, 298.0)	(47, 519.0)	(52, 776.0)	(57, 1169.0)	(62, 1561.0)	(67, 2302.0)	(72, 3059.0)	(77, 3774.0)	(82, 4782.0)	(87, 5576.0)	(92, 6584.0)	(97, 7303.0)	(102, 7778.0)	(107, 8426.0)	(112, 8697.0)	(117, 9053.0)	(122, 9295.0)	(127, 9514.0)	(132, 9340.0)	(137, 9336.0)	(142, 9077.0)	(147, 18929.0)	(151, 86322.0)
ERR6913105_2	(37, 157.0)	(42, 298.0)	(47, 517.0)	(52, 777.0)	(57, 1169.0)	(62, 1561.0)	(67, 2299.0)	(72, 3059.0)	(77, 3774.0)	(82, 4784.0)	(87, 5577.0)	(92, 6585.0)	(97, 7303.0)	(102, 7771.0)	(107, 8421.0)	(112, 8688.0)	(117, 9050.0)	(122, 9286.0)	(127, 9516.0)	(132, 9350.0)	(137, 9377.0)	(142, 9082.0)	(147, 18941.0)	(151, 86285.0)
ERR6913106_1	(37, 378.0)	(42, 667.0)	(47, 1288.0)	(52, 1923.0)	(57, 2892.0)	(62, 3983.0)	(67, 5547.0)	(72, 7289.0)	(77, 9188.0)	(82, 11097.0)	(87, 13006.0)	(92, 14949.0)	(97, 16594.0)	(102, 17901.0)	(107, 19090.0)	(112, 20077.0)	(117, 20664.0)	(122, 21320.0)	(127, 21338.0)	(132, 21439.0)	(137, 21636.0)	(142, 21292.0)	(147, 57196.0)	(151, 305055.0)
ERR6913106_2	(37, 380.0)	(42, 665.0)	(47, 1287.0)	(52, 1922.0)	(57, 2892.0)	(62, 3979.0)	(67, 5544.0)	(72, 7289.0)	(77, 9186.0)	(82, 11100.0)	(87, 13002.0)	(92, 14948.0)	(97, 16593.0)	(102, 17902.0)	(107, 19086.0)	(112, 20069.0)	(117, 20666.0)	(122, 21306.0)	(127, 21357.0)	(132, 21500.0)	(137, 21766.0)	(142, 21350.0)	(147, 57347.0)	(151, 304673.0)
ERR6913144_1	(37, 711.0)	(42, 995.0)	(47, 1684.0)	(52, 2321.0)	(57, 3163.0)	(62, 4039.0)	(67, 5222.0)	(72, 6386.0)	(77, 7619.0)	(82, 9166.0)	(87, 10836.0)	(92, 12502.0)	(97, 14160.0)	(102, 15338.0)	(107, 16897.0)	(112, 18447.0)	(117, 19770.0)	(122, 21079.0)	(127, 21881.0)	(132, 23063.0)	(137, 23603.0)	(142, 24083.0)	(147, 115678.0)	(151, 738891.0)
ERR6913144_2	(37, 713.0)	(42, 995.0)	(47, 1689.0)	(52, 2323.0)	(57, 3163.0)	(62, 4041.0)	(67, 5226.0)	(72, 6392.0)	(77, 7627.0)	(82, 9171.0)	(87, 10840.0)	(92, 12508.0)	(97, 14162.0)	(102, 15332.0)	(107, 16899.0)	(112, 18446.0)	(117, 19773.0)	(122, 21083.0)	(127, 21875.0)	(132, 23060.0)	(137, 23599.0)	(142, 24126.0)	(147, 116406.0)	(151, 738085.0)
ERR6913201_1	(37, 1947.0)	(42, 1668.0)	(47, 2067.0)	(52, 1781.0)	(57, 615.0)	(62, 947.0)	(67, 1582.0)	(72, 1679.0)	(77, 1276.0)	(82, 1613.0)	(87, 1878.0)	(92, 2456.0)	(97, 2609.0)	(102, 2869.0)	(107, 2941.0)	(112, 3185.0)	(117, 3085.0)	(122, 3169.0)	(127, 2888.0)	(132, 2831.0)	(137, 2586.0)	(142, 2367.0)	(147, 4310.0)	(151, 19025.0)
ERR6913201_2	(37, 1947.0)	(42, 1667.0)	(47, 2068.0)	(52, 1779.0)	(57, 615.0)	(62, 948.0)	(67, 1583.0)	(72, 1677.0)	(77, 1277.0)	(82, 1614.0)	(87, 1878.0)	(92, 2456.0)	(97, 2610.0)	(102, 2867.0)	(107, 2941.0)	(112, 3183.0)	(117, 3082.0)	(122, 3168.0)	(127, 2887.0)	(132, 2826.0)	(137, 2577.0)	(142, 2343.0)	(147, 4328.0)	(151, 19053.0)
ERR6913202_1	(37, 335.0)	(42, 309.0)	(47, 504.0)	(52, 575.0)	(57, 741.0)	(62, 1276.0)	(67, 2062.0)	(72, 2888.0)	(77, 4633.0)	(82, 7959.0)	(87, 11875.0)	(92, 16140.0)	(97, 20949.0)	(102, 26513.0)	(107, 28598.0)	(112, 33394.0)	(117, 31329.0)	(122, 32215.0)	(127, 31919.0)	(132, 32674.0)	(137, 31643.0)	(142, 29805.0)	(147, 61196.0)	(151, 298746.0)
ERR6913202_2	(37, 330.0)	(42, 305.0)	(47, 502.0)	(52, 579.0)	(57, 742.0)	(62, 1283.0)	(67, 2068.0)	(72, 2890.0)	(77, 4637.0)	(82, 7961.0)	(87, 11870.0)	(92, 16144.0)	(97, 20948.0)	(102, 26516.0)	(107, 28607.0)	(112, 33395.0)	(117, 31332.0)	(122, 32217.0)	(127, 31934.0)	(132, 32661.0)	(137, 31677.0)	(142, 29806.0)	(147, 61185.0)	(151, 298689.0)
