Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FLASh_mqc-generalstats-flash-combopairs	FLASh_mqc-generalstats-flash-perccombo
ERR6913105_1		5.80032160495081	49.0	128.74752154256865	142	0.0	0.223627	0.203513	91.01
ERR6913105_2		5.758433898307885	49.0	128.7496322000474	142	0.0	0.223627		
ERR6913106_1		4.960116746352341	47.0	132.71144007083888	147	0.0	0.635809	0.527135	82.91
ERR6913106_2		4.927312953370546	47.0	132.70723597810033	147	0.0	0.635809		
ERR6913144_1		6.904702361960901	45.0	141.1053954510556	151	0.0	1.117534	0.6958409999999999	62.27
ERR6913144_2		6.8573555030308455	45.0	141.09948601116386	151	0.0	1.117534		
ERR6913201_1		20.357553170622353	50.0	114.52704065906353	122	0.0	0.07137399999999999	0.066426	93.07
ERR6913201_2		20.342141396026562	50.0	114.5366660128338	122	0.0	0.07137399999999999		
ERR6913202_1		48.96017559650056	49.0	133.06433349616958	147	10.0	0.708278	0.647131	91.37
ERR6913202_2		48.64455956161672	49.0	133.06129372929837	147	10.0	0.708278		
ERR6913240_1		28.89844386619383	48.0	133.71831427241736	147	0.0	1.190394	1.0501639999999999	88.22
ERR6913240_2		28.708939430033638	48.0	133.71638549925487	147	0.0	1.190394		
ERR6913306_1		6.996988213829894	49.0	126.49636835731604	147	0.0	0.372421	0.286692	76.98
ERR6913306_2		6.886754420189959	49.0	126.48883655862586	147	0.0	0.372421		
ERR6913312_1		7.363393848840133	48.0	121.86357043826389	132	0.0	0.500566	0.431561	86.21
ERR6913312_2		7.28228076435326	48.0	121.85222328324336	132	0.0	0.500566		
ERR6913316_1		4.666046641422	49.0	111.83813948977071	112	0.0	0.433021	0.406586	93.9
ERR6913316_2		4.606786951538638	49.0	111.84859394809952	112	0.0	0.433021		
ERR6913335_1		58.65386135851033	50.0	131.90022234749233	147	20.0	0.796501	0.6781119999999999	85.14
ERR6913335_2		58.21333454003684	50.0	131.89293673203173	147	10.0	0.796501		
ERR6913341_1		51.24407686180842	50.0	130.24175579929457	147	10.0	1.138285	0.960986	84.42
ERR6913341_2		50.702449622601705	50.0	130.23479444954472	147	10.0	1.138285		
ERR6913345_1		69.2370741729449	51.0	118.75154614211637	132	10.0	1.375197	1.261137	91.71
ERR6913345_2		69.0046588408214	51.0	118.7415526648182	132	10.0	1.375197		
x_agama_bowtie_merged2SC2	0.06								
